                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8287,                 4.0532,                 1.3663,                      0,                      0,                      0,                      0,                 1.8862,                 4.0773,                 1.2023,                    0.1,                      0,                      0
                      2,                 1.3417,                 3.8501,                  1.052,                      0,                      0,                      0,                      0,                 1.5972,                 3.9348,                 1.0844,                0.09901,              9.901e-06,              9.901e-06
                      3,                 1.1867,                 3.5827,                0.99955,                 0.0375,                 0.1875,                0.06886,                0.03796,                   1.45,                 3.7103,                0.99023,                0.09802,             1.9604e-05,             1.9604e-05
                      4,                 1.3581,                 3.5773,                0.98518,                0.01667,                   0.25,                0.13467,                0.06836,                 1.4728,                 3.5891,                0.98767,               0.097029,             2.9109e-05,             2.9109e-05
                      5,                 1.3071,                 3.2239,                0.93444,                0.01667,                   0.25,                0.16475,                0.07535,                 1.5654,                 3.5112,                 1.0303,               0.096038,             3.8416e-05,             3.8416e-05
                      6,                 1.2236,                 3.0971,                0.94843,                0.01667,                   0.25,                0.17814,                0.07391,                 1.5808,                 3.4452,                 1.0479,               0.095048,             4.7525e-05,             4.7525e-05
                      7,                 1.3227,                 2.5971,                 1.0283,                0.01667,                   0.25,                0.19079,                0.07837,                 1.5828,                 3.3498,                 1.0553,               0.094056,             5.6436e-05,             5.6436e-05
                      8,                 1.2752,                 2.5515,                0.92551,                0.01667,                   0.25,                0.19885,                0.08503,                 1.6109,                 3.2343,                 1.0752,               0.093065,             6.5149e-05,             6.5149e-05
                      9,                 1.2972,                 2.0593,                 1.0329,                0.01667,                   0.25,                0.20852,                0.09096,                 1.5666,                 3.1322,                 1.0498,               0.092074,             7.3664e-05,             7.3664e-05
                     10,                 1.1831,                 2.3694,                0.91789,                0.01667,                   0.25,                0.21038,                0.09651,                  1.546,                 3.0451,                 1.0351,               0.091082,             8.1981e-05,             8.1981e-05
                     11,                 1.1983,                 1.9635,                0.96273,                0.01667,                   0.25,                0.21286,                0.10088,                 1.4725,                 2.9938,                 1.0229,                0.09009,               9.01e-05,               9.01e-05
                     12,                 1.2806,                 2.1035,                0.97483,                0.01667,                   0.25,                0.21649,                0.10485,                 1.4361,                 2.9528,                 1.0136,               0.089098,             9.8021e-05,             9.8021e-05
                     13,                 1.1401,                 1.7286,                0.92692,                0.01667,                   0.25,                0.21707,                0.10136,                 1.4107,                 2.9285,                 1.0145,               0.088106,             0.00010574,             0.00010574
                     14,                 1.2103,                 1.7616,                0.96601,                0.01667,                   0.25,                0.20919,                0.08368,                 1.4275,                 2.9474,                 1.0309,               0.087113,             0.00011327,             0.00011327
                     15,                 1.1636,                 1.5252,                0.89371,                0.01667,                   0.25,                0.20275,                0.07655,                 1.4541,                 2.9739,                 1.0517,               0.086121,              0.0001206,              0.0001206
                     16,                 1.1316,                 1.5868,                0.93215,                0.01667,                   0.25,                0.19933,                0.06693,                 1.5001,                 2.9945,                 1.0872,               0.085128,             0.00012773,             0.00012773
                     17,                 1.1646,                 1.7075,                0.94009,                0.01667,                   0.25,                0.19159,                0.06172,                 1.5386,                  2.986,                 1.1192,               0.084135,             0.00013466,             0.00013466
                     18,                  1.271,                 1.5541,                 1.0339,                0.01667,                   0.25,                0.19159,                0.06172,                 1.5386,                  2.986,                 1.1192,               0.083141,             0.00014139,             0.00014139
                     19,                 1.1249,                 1.5508,                0.93615,                0.01667,                   0.25,                0.20748,                0.06722,                 1.5207,                 2.9604,                 1.1013,               0.082148,             0.00014792,             0.00014792
                     20,                 1.0933,                 1.5022,                0.92552,                0.01667,                   0.25,                0.20748,                0.06722,                 1.5207,                 2.9604,                 1.1013,               0.081154,             0.00015426,             0.00015426
                     21,                 1.0583,                 1.3961,                0.88327,                0.01667,                   0.25,                0.20819,                0.07015,                 1.5041,                 2.9477,                 1.0882,                0.08016,              0.0001604,              0.0001604
